citizen_id,scheme_id,age,gender,is_student,first_higher_education_course,school_background,marital_status,is_orphan,is_destitute,occupation_category,wet_land_acres,dry_land_acres,eligible,eligibility_reason
C000001,TN-SW-001,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0,1,Eligible: female; student; first higher education course; government-school background.
C000001,TN-SW-002,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0,0,Not eligible: gender must be male.
C000001,TN-SW-004,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0,0,Not eligible: must be a widow remarrying.
C000001,TN-SW-006,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0,0,Not eligible: must be an orphan.
C000001,TN-REV-001,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0,0,Not eligible: occupation is not an official main-member group.
C000001,TN-REV-002,19,female,true,true,government_6_to_12,never_married,false,false,other,0.0,0.0,0,Not eligible: age must be 50 or above; must be destitute.
C000002,TN-SW-001,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,1,Eligible: female; student; first higher education course; government-school background.
C000002,TN-SW-002,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: gender must be male.
C000002,TN-SW-004,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: must be a widow remarrying.
C000002,TN-SW-006,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: must be an orphan.
C000002,TN-REV-001,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: occupation is not an official main-member group.
C000002,TN-REV-002,23,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: must be never married; age must be 50 or above; must be destitute.
C000003,TN-SW-001,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0,1,Eligible: female; student; first higher education course; government-school background.
C000003,TN-SW-002,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0,0,Not eligible: gender must be male.
C000003,TN-SW-004,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0,0,Not eligible: must be a widow remarrying.
C000003,TN-SW-006,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0,0,Not eligible: must be an orphan.
C000003,TN-REV-001,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0,0,Not eligible: occupation is not an official main-member group.
C000003,TN-REV-002,23,female,true,true,government_6_to_12,never_married,false,true,other,0.0,0.0,0,Not eligible: age must be 50 or above.
C000004,TN-SW-001,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,1,Eligible: female; student; first higher education course; government-school background.
C000004,TN-SW-002,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: gender must be male.
C000004,TN-SW-004,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: must be a widow remarrying.
C000004,TN-SW-006,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: must be an orphan.
C000004,TN-REV-001,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: occupation is not an official main-member group.
C000004,TN-REV-002,24,female,true,true,government_6_to_12,married,false,false,other,0.0,0.0,0,Not eligible: must be never married; age must be 50 or above; must be destitute.
